"","X1","X2","X3","X4","X5","X6","X7","X8","Y1"
"17",0.79,637,343,147,7,2,0,0,28.52
"20",0.79,637,343,147,7,5,0,0,28.75
"25",0.74,686,245,220.5,3.5,2,0,0,6.07
"26",0.74,686,245,220.5,3.5,3,0,0,6.05
"27",0.74,686,245,220.5,3.5,4,0,0,6.01
"28",0.74,686,245,220.5,3.5,5,0,0,6.04
"29",0.71,710.5,269.5,220.5,3.5,2,0,0,6.37
"30",0.71,710.5,269.5,220.5,3.5,3,0,0,6.4
"31",0.71,710.5,269.5,220.5,3.5,4,0,0,6.37
"32",0.71,710.5,269.5,220.5,3.5,5,0,0,6.4
"33",0.69,735,294,220.5,3.5,2,0,0,6.85
"34",0.69,735,294,220.5,3.5,3,0,0,6.79
"35",0.69,735,294,220.5,3.5,4,0,0,6.77
"36",0.69,735,294,220.5,3.5,5,0,0,6.81
"37",0.66,759.5,318.5,220.5,3.5,2,0,0,7.18
"38",0.66,759.5,318.5,220.5,3.5,3,0,0,7.1
"39",0.66,759.5,318.5,220.5,3.5,4,0,0,7.1
"40",0.66,759.5,318.5,220.5,3.5,5,0,0,7.1
"41",0.64,784,343,220.5,3.5,2,0,0,10.85
"42",0.64,784,343,220.5,3.5,3,0,0,10.54
"43",0.64,784,343,220.5,3.5,4,0,0,10.77
"44",0.64,784,343,220.5,3.5,5,0,0,10.56
"45",0.62,808.5,367.5,220.5,3.5,2,0,0,8.6
"46",0.62,808.5,367.5,220.5,3.5,3,0,0,8.49
"47",0.62,808.5,367.5,220.5,3.5,4,0,0,8.45
"48",0.62,808.5,367.5,220.5,3.5,5,0,0,8.5
"49",0.98,514.5,294,110.25,7,2,0.1,1,24.58
"50",0.98,514.5,294,110.25,7,3,0.1,1,24.63
"51",0.98,514.5,294,110.25,7,4,0.1,1,24.63
"52",0.98,514.5,294,110.25,7,5,0.1,1,24.59
"53",0.9,563.5,318.5,122.5,7,2,0.1,1,29.03
"56",0.9,563.5,318.5,122.5,7,5,0.1,1,28.09
"57",0.86,588,294,147,7,2,0.1,1,26.28
"58",0.86,588,294,147,7,3,0.1,1,26.91
"59",0.86,588,294,147,7,4,0.1,1,26.37
"60",0.86,588,294,147,7,5,0.1,1,25.27
"69",0.76,661.5,416.5,122.5,7,2,0.1,1,32.96
"70",0.76,661.5,416.5,122.5,7,3,0.1,1,32.12
"71",0.76,661.5,416.5,122.5,7,4,0.1,1,32.94
"72",0.76,661.5,416.5,122.5,7,5,0.1,1,32.21
"77",0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71
"78",0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8
"79",0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7
"80",0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75
"81",0.69,735,294,220.5,3.5,2,0.1,1,11.11
"82",0.69,735,294,220.5,3.5,3,0.1,1,11.13
"83",0.69,735,294,220.5,3.5,4,0.1,1,11.09
"84",0.69,735,294,220.5,3.5,5,0.1,1,11.16
"85",0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68
"86",0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69
"87",0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7
"88",0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69
"93",0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96
"94",0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97
"95",0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93
"96",0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02
"97",0.98,514.5,294,110.25,7,2,0.1,2,24.29
"98",0.98,514.5,294,110.25,7,3,0.1,2,24.31
"99",0.98,514.5,294,110.25,7,4,0.1,2,24.13
"100",0.98,514.5,294,110.25,7,5,0.1,2,24.25
"101",0.9,563.5,318.5,122.5,7,2,0.1,2,28.88
"103",0.9,563.5,318.5,122.5,7,4,0.1,2,28.83
"104",0.9,563.5,318.5,122.5,7,5,0.1,2,27.9
"105",0.86,588,294,147,7,2,0.1,2,26.48
"106",0.86,588,294,147,7,3,0.1,2,27.02
"107",0.86,588,294,147,7,4,0.1,2,26.33
"108",0.86,588,294,147,7,5,0.1,2,25.36
"117",0.76,661.5,416.5,122.5,7,2,0.1,2,33.16
"118",0.76,661.5,416.5,122.5,7,3,0.1,2,32.4
"119",0.76,661.5,416.5,122.5,7,4,0.1,2,33.12
"120",0.76,661.5,416.5,122.5,7,5,0.1,2,32.41
"125",0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64
"126",0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72
"127",0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55
"128",0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68
"129",0.69,735,294,220.5,3.5,2,0.1,2,11.45
"130",0.69,735,294,220.5,3.5,3,0.1,2,11.46
"131",0.69,735,294,220.5,3.5,4,0.1,2,11.32
"132",0.69,735,294,220.5,3.5,5,0.1,2,11.49
"133",0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45
"134",0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42
"135",0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33
"136",0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43
"141",0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88
"142",0.62,808.5,367.5,220.5,3.5,3,0.1,2,13
"143",0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97
"144",0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04
"145",0.98,514.5,294,110.25,7,2,0.1,3,24.28
"146",0.98,514.5,294,110.25,7,3,0.1,3,24.4
"147",0.98,514.5,294,110.25,7,4,0.1,3,24.11
"148",0.98,514.5,294,110.25,7,5,0.1,3,24.35
"149",0.9,563.5,318.5,122.5,7,2,0.1,3,28.07
"150",0.9,563.5,318.5,122.5,7,3,0.1,3,29.01
"152",0.9,563.5,318.5,122.5,7,5,0.1,3,29.05
"153",0.86,588,294,147,7,2,0.1,3,25.41
"154",0.86,588,294,147,7,3,0.1,3,26.47
"155",0.86,588,294,147,7,4,0.1,3,26.89
"156",0.86,588,294,147,7,5,0.1,3,26.46
"165",0.76,661.5,416.5,122.5,7,2,0.1,3,32.52
"166",0.76,661.5,416.5,122.5,7,3,0.1,3,33.28
"167",0.76,661.5,416.5,122.5,7,4,0.1,3,32.33
"168",0.76,661.5,416.5,122.5,7,5,0.1,3,33.24
"173",0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77
"174",0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68
"175",0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.68
"176",0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7
"177",0.69,735,294,220.5,3.5,2,0.1,3,11.22
"178",0.69,735,294,220.5,3.5,3,0.1,3,11.16
"179",0.69,735,294,220.5,3.5,4,0.1,3,11.1
"180",0.69,735,294,220.5,3.5,5,0.1,3,11.14
"181",0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59
"182",0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6
"183",0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53
"184",0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61
"189",0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68
"190",0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63
"191",0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71
"192",0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73
"193",0.98,514.5,294,110.25,7,2,0.1,4,24.38
"194",0.98,514.5,294,110.25,7,3,0.1,4,24.23
"195",0.98,514.5,294,110.25,7,4,0.1,4,24.04
"196",0.98,514.5,294,110.25,7,5,0.1,4,24.32
"197",0.9,563.5,318.5,122.5,7,2,0.1,4,29.06
"198",0.9,563.5,318.5,122.5,7,3,0.1,4,28.05
"199",0.9,563.5,318.5,122.5,7,4,0.1,4,28.86
"201",0.86,588,294,147,7,2,0.1,4,26.44
"202",0.86,588,294,147,7,3,0.1,4,25.37
"203",0.86,588,294,147,7,4,0.1,4,26.33
"204",0.86,588,294,147,7,5,0.1,4,27.03
"213",0.76,661.5,416.5,122.5,7,2,0.1,4,33.08
"215",0.76,661.5,416.5,122.5,7,4,0.1,4,33.09
"217",0.74,686,245,220.5,3.5,2,0.1,4,10.08
"218",0.74,686,245,220.5,3.5,3,0.1,4,10.15
"219",0.74,686,245,220.5,3.5,4,0.1,4,10.07
"220",0.74,686,245,220.5,3.5,5,0.1,4,10.14
"221",0.71,710.5,269.5,220.5,3.5,2,0.1,4,10.66
"222",0.71,710.5,269.5,220.5,3.5,3,0.1,4,10.68
"223",0.71,710.5,269.5,220.5,3.5,4,0.1,4,10.53
"224",0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.72
"225",0.69,735,294,220.5,3.5,2,0.1,4,11.18
"226",0.69,735,294,220.5,3.5,3,0.1,4,11.22
"227",0.69,735,294,220.5,3.5,4,0.1,4,11.07
"228",0.69,735,294,220.5,3.5,5,0.1,4,11.2
"229",0.66,759.5,318.5,220.5,3.5,2,0.1,4,11.44
"230",0.66,759.5,318.5,220.5,3.5,3,0.1,4,11.42
"231",0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.33
"232",0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.43
"237",0.62,808.5,367.5,220.5,3.5,2,0.1,4,12.85
"238",0.62,808.5,367.5,220.5,3.5,3,0.1,4,13.04
"239",0.62,808.5,367.5,220.5,3.5,4,0.1,4,13
"240",0.62,808.5,367.5,220.5,3.5,5,0.1,4,13
"241",0.98,514.5,294,110.25,7,2,0.1,5,24.35
"242",0.98,514.5,294,110.25,7,3,0.1,5,24.33
"243",0.98,514.5,294,110.25,7,4,0.1,5,24.03
"244",0.98,514.5,294,110.25,7,5,0.1,5,24.26
"245",0.9,563.5,318.5,122.5,7,2,0.1,5,29.83
"246",0.9,563.5,318.5,122.5,7,3,0.1,5,29.08
"247",0.9,563.5,318.5,122.5,7,4,0.1,5,28.03
"248",0.9,563.5,318.5,122.5,7,5,0.1,5,29.02
"249",0.86,588,294,147,7,2,0.1,5,27.03
"250",0.86,588,294,147,7,3,0.1,5,26.45
"251",0.86,588,294,147,7,4,0.1,5,25.36
"252",0.86,588,294,147,7,5,0.1,5,26.45
"262",0.76,661.5,416.5,122.5,7,3,0.1,5,33.21
"264",0.76,661.5,416.5,122.5,7,5,0.1,5,33.27
"265",0.74,686,245,220.5,3.5,2,0.1,5,10.47
"266",0.74,686,245,220.5,3.5,3,0.1,5,10.37
"267",0.74,686,245,220.5,3.5,4,0.1,5,10.34
"268",0.74,686,245,220.5,3.5,5,0.1,5,10.39
"269",0.71,710.5,269.5,220.5,3.5,2,0.1,5,10.78
"270",0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.7
"271",0.71,710.5,269.5,220.5,3.5,4,0.1,5,10.67
"273",0.69,735,294,220.5,3.5,2,0.1,5,11.21
"274",0.69,735,294,220.5,3.5,3,0.1,5,11.14
"275",0.69,735,294,220.5,3.5,4,0.1,5,11.11
"276",0.69,735,294,220.5,3.5,5,0.1,5,11.16
"277",0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.38
"278",0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.34
"279",0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.22
"280",0.66,759.5,318.5,220.5,3.5,5,0.1,5,11.34
"285",0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59
"286",0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74
"287",0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8
"288",0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62
"289",0.98,514.5,294,110.25,7,2,0.25,1,28.15
"290",0.98,514.5,294,110.25,7,3,0.25,1,28.15
"291",0.98,514.5,294,110.25,7,4,0.25,1,28.37
"292",0.98,514.5,294,110.25,7,5,0.25,1,28.41
"297",0.86,588,294,147,7,2,0.25,1,29.54
"298",0.86,588,294,147,7,3,0.25,1,30.05
"299",0.86,588,294,147,7,4,0.25,1,29.6
"300",0.86,588,294,147,7,5,0.25,1,28.66
"309",0.76,661.5,416.5,122.5,7,2,0.25,1,36.96
"310",0.76,661.5,416.5,122.5,7,3,0.25,1,36.13
"311",0.76,661.5,416.5,122.5,7,4,0.25,1,36.91
"312",0.76,661.5,416.5,122.5,7,5,0.25,1,36.43
"313",0.74,686,245,220.5,3.5,2,0.25,1,12.43
"314",0.74,686,245,220.5,3.5,3,0.25,1,12.5
"315",0.74,686,245,220.5,3.5,4,0.25,1,12.41
"316",0.74,686,245,220.5,3.5,5,0.25,1,12.45
"317",0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57
"318",0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.65
"319",0.71,710.5,269.5,220.5,3.5,4,0.25,1,12.57
"320",0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.63
"321",0.69,735,294,220.5,3.5,2,0.25,1,12.78
"322",0.69,735,294,220.5,3.5,3,0.25,1,12.93
"323",0.69,735,294,220.5,3.5,4,0.25,1,12.73
"324",0.69,735,294,220.5,3.5,5,0.25,1,12.72
"325",0.66,759.5,318.5,220.5,3.5,2,0.25,1,13.17
"326",0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.18
"327",0.66,759.5,318.5,220.5,3.5,4,0.25,1,13.17
"328",0.66,759.5,318.5,220.5,3.5,5,0.25,1,13.18
"333",0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.09
"334",0.62,808.5,367.5,220.5,3.5,3,0.25,1,15.12
"335",0.62,808.5,367.5,220.5,3.5,4,0.25,1,15.08
"336",0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.16
"337",0.98,514.5,294,110.25,7,2,0.25,2,28.67
"338",0.98,514.5,294,110.25,7,3,0.25,2,28.57
"339",0.98,514.5,294,110.25,7,4,0.25,2,28.18
"340",0.98,514.5,294,110.25,7,5,0.25,2,28.6
"344",0.9,563.5,318.5,122.5,7,5,0.25,2,31.66
"345",0.86,588,294,147,7,2,0.25,2,29.34
"346",0.86,588,294,147,7,3,0.25,2,29.87
"347",0.86,588,294,147,7,4,0.25,2,29.27
"348",0.86,588,294,147,7,5,0.25,2,28.4
"357",0.76,661.5,416.5,122.5,7,2,0.25,2,36.95
"358",0.76,661.5,416.5,122.5,7,3,0.25,2,36.28
"359",0.76,661.5,416.5,122.5,7,4,0.25,2,36.86
"360",0.76,661.5,416.5,122.5,7,5,0.25,2,36.45
"361",0.74,686,245,220.5,3.5,2,0.25,2,12.35
"362",0.74,686,245,220.5,3.5,3,0.25,2,12.45
"363",0.74,686,245,220.5,3.5,4,0.25,2,12.16
"364",0.74,686,245,220.5,3.5,5,0.25,2,12.3
"365",0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.33
"366",0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.29
"367",0.71,710.5,269.5,220.5,3.5,4,0.25,2,12.2
"368",0.71,710.5,269.5,220.5,3.5,5,0.25,2,12.49
"369",0.69,735,294,220.5,3.5,2,0.25,2,12.85
"370",0.69,735,294,220.5,3.5,3,0.25,2,12.87
"371",0.69,735,294,220.5,3.5,4,0.25,2,12.73
"372",0.69,735,294,220.5,3.5,5,0.25,2,12.95
"373",0.66,759.5,318.5,220.5,3.5,2,0.25,2,13.05
"374",0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.93
"375",0.66,759.5,318.5,220.5,3.5,4,0.25,2,12.77
"376",0.66,759.5,318.5,220.5,3.5,5,0.25,2,13
"381",0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.34
"382",0.62,808.5,367.5,220.5,3.5,3,0.25,2,14.66
"383",0.62,808.5,367.5,220.5,3.5,4,0.25,2,14.6
"384",0.62,808.5,367.5,220.5,3.5,5,0.25,2,14.6
